,buyers,contract_value,suppliers
25762,Presidencia de la República,0,"CURIOSITY MEDIA GROUP, S.A. DE C.V."
25763,Comisión Nacional del Agua,0,CONSTRUCTORA ROJA SA DE CV
25766,"Centros de Integración Juvenil, A.C.",30450,"LUCA SERVICIOS, S.C."
25768,"Hospital Regional de Alta Especialidad de Ciudad Victoria ""Bicentenario 2010""",9339740,ECARESOFT MEXICO SA DE CV
25773,Secretaría de Comunicaciones y Transportes,0,5M2 ANDENES S A P I DE CV
25775,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,ANABEL AVILES ABREGO
25776,Consejo Nacional de Evaluación de la Política de Desarrollo Social,928000,COCOA SERVICES S.C.
25777,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
25783,Servicio de Protección Federal,59956.57,GOSSLER SC
25784,Secretaría de Cultura,0,MARIANA LÓPEZ VALENZUELA
25786,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,712851.52,"ACCESO FARM, S.A. DE C.V."
25794,Secretaría de Cultura,0,MAIA FERNANDEZ MIRET SCHUSSHEIM
25795,Prevención y Readaptación Social,0,GRUPO CENTURION COMBUSTIBLES S A P I DE CV
25797,Instituto Nacional de Desarrollo Social,0,TECNOLOGIA EN TELECOMUNICACIONES
25798,Centro SCT Campeche,5034987.83,CONSTRUCCIONES VALLON MEUNIER S.A. DE C.V.
25799,Universidad Pedagógica Nacional,0,HELP MEDICAL ASSISTANCE SA DE CV
25800,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",47386,GLORIA ESTEFANY MAYA VALDEZ
25801,Secretaría de Comunicaciones y Transportes,0,EDIFICACIONES MAACA SA DE CV
25802,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
25805,Secretaría de la Defensa Nacional,0,MAQUILAS CLAUDIA S DE RL DE CV
25807,Servicios a la Navegación en el Espacio Aéreo Mexicano,51399.6,GRUPO INTEGRAL NAPSA S DE RL DE CV
25809,Comisión Nacional del Agua,0,PROMOTORA DE INFRAESTRUCTURA IMM SA DE CV
25810,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
25811,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,JOSE LUIS MARTINEZ MATUS
25815,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,DAVID CABALLERO OJEDA
25816,Junta Federal de Conciliación y Arbitraje,3517.7,"SERVICIOS DE LIMPIEZA EMPRESARIAL, S.A. DE C.V."
25821,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
25823,Secretaría de Desarrollo Social,0,P&C LIMPIEZA SA DE CV
25824,Instituto Nacional para la Educación de los Adultos,207756.44,SERGIO LUJANO TORRES
25826,Secretaría de Comunicaciones y Transportes,0,FERROXCO
25828,Dirección General de Bienes Inmuebles y Recursos Materiales,1608243.04,"MACONSER DEL CENTRO, S. A. DE C. V."
25829,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
25830,Comisión Nacional del Agua,0,AGAVIS DIGITAL SC
25831,Instituto Nacional de las Personas Adultas Mayores,0,"PROCESADORA Y DISTRIBUIDORA LOS CHANEQUES, S.A. DE C.V."
25832,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,SUSANA PEREZ TELLEZ
25840,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
25845,Instituto Mexicano de Cinematografía,63569.98,INFOTEC CENTRO DE INVESTIGACION E INNIVACION EN TECNOLOGIAS DE LA INFORMACION Y COMUNICACION
25846,XE-IPN Canal 11,0,ANA CARMEN TEJEDA ALOR
25849,Instituto de Administración y Avalúos de Bienes Nacionales,0,VALPO VALUACION PROFESIONAL ORGANIZADA SA DE CV
25851,delegación en Yucatán,31001.67,JOSE ANDRES PECH  RIVERA
25852,Instituto Politécnico Nacional,0,SERVICIOS CAINDI SA DE CV
25853,Secretaría de Salud,0,PABLO HIGINIO GARCIA ZAMARRON
25858,Secretaría de la Función Pública,0,JOSE SANTIAGO JUAN GONZALEZ DIAZ
25860,Hospital Regional de Alta Especialidad de la Península de Yucatán,1212908.3,SERVICIOS INTEGRALES DE ALIMENTACION DEL SURESTE  SA DE CV
25861,Instituto Nacional de Desarrollo Social,0,JUAN CARLOS MARTINEZ PEREZ
25863,Instituto Nacional de Bellas Artes y Literatura,0,DIANA CAMARGO MEADE
25865,Secretaría de Hacienda y Crédito Público,0,"FUNCIONAMIENTO INTEGRO DE RADIODIFUSORAS MEXICANAS ENLAZADAS, S.A. de C.V."
25866,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,QUASAR LIMPIEZA SA. DE C.V.
25868,Centro SCT Campeche,1621008,"JET VAN CAR RENTAL, S.A. DE C.V."
25873,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MARTHA ALICIA MUÑOZ TOSTADO
25875,Secretaría de Cultura,0,ALMA ANGÉLICA CORTÉS LEZAMA
25878,Procuraduría de la Defensa del Contribuyente,699999.88,PUBLICACIONES METROPOLITANAS SA DE CV
25879,Secretaría de Comunicaciones y Transportes,0,WMC Y ASOCIADOS SA DE CV
25883,Secretaría de la Función Pública,0,MARIA ESTHER DEL CARMEN NORIEGA FERNANDEZ
25884,Secretaría de Cultura,0,"ESTRATEGIAS JURIDICAS PARA EL DESARROLLO, S.C."
25885,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
25886,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MARIBEL ESTRADA DIAZ
25889,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,RAUL VILLARREAL NUNGARAY
25891,delegación Estatal en Tabasco,264480,FRANCISCO DE JESUS MARTINEZ RODRIGUEZ
25892,Instituto Nacional de Bellas Artes y Literatura,0,"EDITORIAL VUELTA, S. A. DE C. V."
25894,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,TURISTICA MAYA DE QUINTANA ROO SA DE CV
25896,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,FRANCISCO XAVIER FISCHER DIBENE
25898,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
25899,Instituto de Administración y Avalúos de Bienes Nacionales,0,EDUARDO TENORIO CONTRERAS
25901,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,PRODUCTOS DIGITALES PARA OFICINA SA DE CV
25902,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,RENE OMAR SUAREZ CORONA
25904,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
25906,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,FIRMA GARA SA DE CV
25907,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,FLAVIO MARTIN TEJADA BARRAZA
25914,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,43859.59,PRODUCTOS MENA  S.A. DE C.V.
25917,Servicios a la Navegación en el Espacio Aéreo Mexicano,0,CLIMAS Y REFACCIONES SA DE CV
25919,Secretaría de Comunicaciones y Transportes,0,SOLORZANO CARVAJAL GONZALEZ Y PEREZ CORREA
25921,Secretaría de Marina,0,"AVIATION PARTS EXECUTIVE, INC."
25923,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,"IMPULSORA DE TRANSPORTES MEXICANOS, S.A. DE C.V."
25924,Centro SCT Jalisco,2480866.33,SUPERVISION PROYECTOS Y LABORATORIO PARA LA CONSTRUCCION S.A. DE C.V.
25926,Comisión Nacional del Sistema de Ahorro para el Retiro,0,HECTOR MANUEL GOMEZ FIGUEROA
25927,Instituto de Administración y Avalúos de Bienes Nacionales,0,ANALISIS ECONOMICOS PROFESIONALES SA DE CV
25928,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ROCIO MARGARITA MORENO MOLINA
25931,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
25932,Procuraduría General de la República,0,SERBITECSA SA DE CV
25933,Comisión Nacional del Agua,0,CONSTRUCCIONES SAREVICH SA DE CV
25934,Comisión Nacional del Sistema de Ahorro para el Retiro,0,CESAR FERNANDEZ TORRES
25937,Instituto Nacional de Medicina Genómica,4157.44,FERANDELH SA DE CV
25938,Secretaría de Comunicaciones y Transportes,0,ING. ELIAS SAHAB HADDAD
25940,Instituto de Administración y Avalúos de Bienes Nacionales,0,M&M INGENIERIA Y VALUACION SA DE CV
25941,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,ANTARES COMERCIALIZADORA Y PROCESOS DIGITALES SA DE CV
25942,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,CRISTHIAN ARMANDO DIAZ MURGA
25943,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
25944,Comisión Nacional del Agua,1905836.15,CURVAS Y BORDES DE MEXICO SA DE CV
25946,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO VALENZUELA PORCHAS SA DE CV
25951,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,SELENE MARISOL ESTRADA AGUILAR
25952,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
25953,Comisión Nacional Bancaria y de Valores,0,GARCIA FARFAN MARIA CELIA
25954,Instituto de Administración y Avalúos de Bienes Nacionales,0,CELESTE VALUACIONES SA DE CV
25957,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,SISTEMAS GRAFICOS JIORMA SA DE CV
25958,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
25959,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,CESAR JAVIER REAL FLORES
25961,"Hospital General de México ""Dr. Eduardo Liceaga""",225492.4,GENERA NEGOCIOS  S.A.  DE C.V.
25969,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
25971,Secretaría de Comunicaciones y Transportes,0,CONSTRUCTORA CARRASCO ORTEGA SA DE CV
25972,Secretaría de Cultura,0,LUIS FELIPE RODRIGUEZ CRUZ
25974,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",58405.58,GALIA VIANKA ROBLES SANTANA
25975,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
25976,Comisión Nacional de Áreas Naturales Protegidas,0,KARLA RAMOS RUIZ
25977,Comisión Nacional del Sistema de Ahorro para el Retiro,0,MARTHA ROA GUDIÑO
25978,Secretaría de Desarrollo Social,0,CENTRO MEXICANO DE INVESTIGACION ESPECIALIZADA AC
25982,Dirección General de Carreteras,5231089,CONSTRUCCION Y ASESORIA EN OBRAS Y SERVICIOS S.A. DE C.V.
25987,"Hospital General ""Dr. Manuel Gea González""",181507.98,COMERCIAL EGIPCIA  S.A. DE C.V.
25989,Secretaría de Marina,0,ALAN RICARDO VALLADOLID DIAZ
25995,Secretaría de Gobernación,0,GRUPO RAN-CEL SA DE CV
25996,Procuraduría General de la República,0,FRANCISCO SANTANA NARVAEZ
25999,Centro SCT Baja California,6657542.86,COPNOR S. DE R.L. DE C.V.
26000,Prevención y Readaptación Social,0,"PEREZ COLIN, AVILES, VAZQUEZ Y ASOCIADOS SC"
26001,Secretaría de la Función Pública,0,ANGEL HIDALGO ORTEGA
26007,XE-IPN Canal 11,0,NALLELY HERNANDEZ SANTIAGO
26010,Comisión Federal de Mejora Regulatoria,0,SUPER PAPELERA SA DE CV
26012,Secretaría de Comunicaciones y Transportes,0,MARIA YAZMIN ALESSANDRINI MORALES
26013,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
26014,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",155974.28,RECOLECTORA DE DESECHOS Y RESIDUOS KING KONG SA DE CV
26015,Instituto de Administración y Avalúos de Bienes Nacionales,0,ADOLFO SOSA GOMEZ
26019,Secretaría de Cultura,0,YESICA ELIANET CALDERON SOTO
26021,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,FRANCISCO RICARDO ARELLANO SOTELO
26024,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
26026,Comisión Nacional del Agua,0,PROYECTOS AMBIENTALES E INGENIERIA SA DE CV
26028,Secretaría de la Función Pública,0,OMAR FLORES LECONA
26030,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26031,Comisión Coordinadora de Institutos Nacionales de Salud y Hospitales de Alta Especialidad,1729.74,MATCUR SA DE CV
26033,Instituto Nacional de Medicina Genómica,68967.8,EQUIPOS Y CLIMAS DE MEXICO S.A. DE C.V.
26034,Comisión Nacional para el Desarrollo de los Pueblos Indígenas,150000,SEVERO NICOLAS BARANDA
26036,Secretaría de la Función Pública,0,NANCY YADIRA BASORIA GUZMAN
26037,Secretaría de Comunicaciones y Transportes,0,CONSTRUCCION Y CONTROL DE OBRA CIVIL SA DE CV
26038,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,ARHAM URIEL DIAZ VILLALOBOS
26040,Comisión Nacional del Agua,0,COYATOC CONSTRUCCIONES SA DE CV
26043,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26044,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,RAUL SARA GUTIERREZ
26045,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
26046,Registro Agrario Nacional,0,LAVA GAMA SA DE CV
26049,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26055,Secretaría de Marina,0,BLANCA ESTELA LOPEZ LEON
26056,Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,1044451.72,REPRESENTACIONES INTERNACIONALES EN EQUIPO PARA LABORATORIOS SA DE CV
26058,Secretaría de Comunicaciones y Transportes,0,MAGDALENA ANGUSTIAS BAEZ FLORES
26059,Procuraduría General de la República,0,DISTRIBUCIONES Y PROYECTOS
26061,Secretaría de Comunicaciones y Transportes,0,RICARDO AGUILAR PARDO
26064,Centro SCT Jalisco,2242547.36,CONSTRUCCIONES Y SUPERVISIONES TLACALLI SA DE CV
26065,Secretaría de Hacienda y Crédito Público,0,CINTHYA DEL CARMEN CHAB CASANOVA
26066,Secretaría de Comunicaciones y Transportes,0,PROYECTOS KARSHE SA DE CV
26068,Centro SCT Quintana Roo,8998960.33,"ESGO, ARQUITECTURA Y CONSTRUCCION S.A. DE C.V."
26069,Secretaría de la Función Pública,0,RAUL GALINDO CABAÑAS
26073,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
26077,Instituto de Administración y Avalúos de Bienes Nacionales,0,TOKA INTERNACIONAL S A P I DE CV
26079,Comisión Nacional Bancaria y de Valores,0,ORTIZ PAVON
26080,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,IMELDA MONTAÑEZ HERRADA
26081,Servicio de Información Agroalimentaria y Pesquera,0,SISTEMAS DE INFORMACION GEOGRAFICA SA DE CV
26085,Comisión Nacional del Sistema de Ahorro para el Retiro,0,MARCELA ROMERO HERNANDEZ
26088,Centro SCT Michoacán,6721440.52,COMPAÑÍA CONSTRUCTORA REC. S.A. DE C.V.
26090,Centro Nacional de Equidad de Género y Salud Reproductiva,0,ADRIANA GUADALUPE TORRES ESPARZA 
26091,Instituto Nacional de Bellas Artes y Literatura,0,JOSE LUIS MALDONADO VANEGAS
26093,Consejo Nacional para Prevenir la Discriminación,216171.47999999998,ARMANDO RODRIGUEZ BRISEÑO
26094,delegación SEDESOL en Durango,20000,SERVICIO CASAL DE DURANGO SA DE CV
26098,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26100,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,MLP AUTOMOTRIZ SA DE CV
26101,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
26104,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
26107,Comisión Nacional Bancaria y de Valores,0,CHARVEL Y PEZUELA GROUP SA DE CV
26109,Secretaría de Hacienda y Crédito Público,0,"EL UNIVERSAL COMPAÑIA PERIODISTICA NACIONAL, S.A. DE C.V."
26110,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,MARPA DE PACHUCA SA de CV
26117,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,ISRAEL NIÑO SALAS
26118,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,LIZETH CASTAÑEDA
26119,Instituto de Administración y Avalúos de Bienes Nacionales,0,ANALISIS ECONOMICOS PROFESIONALES SA DE CV
26122,Secretaría de Marina,0,"ROSOBORONEXPORT, SOCIEDAD ANÓNIMA."
26124,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ROCIO DEYANIRA TORRES ORTEGA
26125,Instituto Nacional de Pesca,38249.13,MARÍA GABRIELA RAUDA ROBLES
26126,Secretaría de Comunicaciones y Transportes,0,CEBALLOS CONSTRUCCIONES SA DE CV
26128,Comisión Nacional del Agua,0,GRUPO PROYECTOS Y CONSTRUCCIONES ORHUE S.A. DE C.V.
26129,Comisión Nacional del Agua,0,FIBRA HOTELERA SC
26132,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,GUSTAVO ALVARADO RAMIREZ
26133,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,OSCAR SORIA GALINA 
26135,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26137,Fondo Nacional de Fomento al Turismo,2388613.1,SUPERVISION Y CONSTRUCCION PAGRO S.A. DE C.V.
26140,Comisión Nacional Forestal,50124.4,OLIVERA CARLOS MARTINEZ
26142,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ALICIA JUAREZ CEJA
26144,"Dirección General de Recursos Materiales, Obra Pública y Servicios Generales",14987.2,ANA MARIA VELAZQUEZ MOLINA
26148,Presidencia de la República,0,SERVICIOS ESPECIALIZADOS DE CONSULTORIA EN TRANSFORMACION DIGITAL SA DE CV
26149,Secretaría de Comunicaciones y Transportes,0,JOSE SEPCHEM ARMENTA NAVA
26151,Secretaría de Comunicaciones y Transportes,0,ROJO AGUILAR CONSULTORES Y CONSTRUCTORES SA DE CV
26155,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MERLE YURIDIA DIAZ AYALA
26156,Secretaría de Marina,0,IPB AUTOS AMERICANOS SA DE CV
26158,Comisión Nacional Bancaria y de Valores,0,IRINEO DOMINGUEZ GABRIEL
26159,Secretaría de Medio Ambiente y Recursos Naturales,0,SEGURIDAD PRIVADA MEGA ESPECIALIZADA SA DE CV
26160,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,MARIO DOMINGUEZ BALDERRAMA
26161,Instituto Nacional de Antropología e Historia,0,ADRIAN MURGUIA GONZALEZ
26163,XE-IPN Canal 11,0,LUIS MANUEL ARCE HERRERA
26165,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,DAVID DIAZ LAGUNA
26169,Secretaría de Comunicaciones y Transportes,0,CONSTRUCTORA Y URBANIZADORA GAZA SA DE CV
26170,Secretaría de Comunicaciones y Transportes,0,CARLOS VALVERDE SOTO
26171,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
26172,Hospital Infantil de México Federico Gómez,764895.88,GRUPO INDUSTRIAL DE MAQUINARIA ELECTROMECANICA  S.A. DE C.V.
26173,Secretaría de Marina,0,HUGO JIMENEZ CAMPOS
26174,Sistema Nacional para el Desarrollo Integral de la Familia,17322.32,COMPA¥IA MEXICANA DE TRASLADOS DE VALORES  S A  DE  C V
26175,Administración Federal de Servicios Educativos en el Distrito Federal,0,CENTRO DE PROFESIONALIZACION E INNOVACION EDUCATIVAS AC
26177,Servicio de Administración Tributaria,0,EURONAVY DE MEXICO SA DE CV
26180,Secretaría de Marina,0,ANHUAR PEREZ PALACIOS
26181,Comisión Nacional del Agua,0,CONSTRUCCIONES PROLIJAS SA DE CV
26187,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0, CAROLINA ILIANA CERVANTES CABALLERO
26191,Secretaría de Comunicaciones y Transportes,0,TRANSCONSULT SA DE CV
26192,Secretaría de Cultura,0,"EL UNIVERSAL COMPAÑIA PERIODISTICA NACIONAL, S.A. DE C.V."
26193,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,BRENDA DENISSE RIVERA VERDUGO
26198,Instituto Nacional de Cancerología,242899.43,"GE SISTEMAS MEDICOS DE MEXICO, S.A. DE C.V."
26201,Instituto Nacional de Psiquiatría Ramón de la Fuente Muñiz,110630.36,AFIANZADORA ASERTA S.A. DE C.V.
26202,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
26203,Instituto Nacional de Bellas Artes y Literatura,0,ALFREDO CONTRERAS MORENO
26207,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,GERMAN RIVERA SEGURA
26208,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26209,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,JUAN RAMON CASTILLO HERRERA
26212,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ISMAEL BELMARES CONTRERAS
26213,Secretaría de Comunicaciones y Transportes,0,CLAMI INGENIEROS SC
26215,Comisión Nacional del Agua,1093297.77,GRUPO NISSIN SC DE RL DE CV
26216,Secretaría de Desarrollo Social,0,"SSL MEDIA DIGITAL, S.A. DE C.V."
26219,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO VALENZUELA PORCHAS SA DE CV
26220,Comisión Nacional del Agua,0,ADRIAN DOMINGUEZ QUEZADA
26221,Agencia Nacional de Seguridad Industrial y de Protección al Medio Ambiente del Sector Hidrocarburos,23224013.11,ITCODING CONSULTORIA TECNOLOGICA & DESARROLLO S.A DE C.V
26223,Comisión Nacional Bancaria y de Valores,0,JOSE ANTONIO RODRIGUEZ ENCISO
26226,Instituto Nacional de Bellas Artes y Literatura,0,JULIA INÉS HERNÁNDEZ ESTRADA
26232,Instituto de Administración y Avalúos de Bienes Nacionales,0,MAF VALUACION Y SERVICIO SA DE CV
26236,Comisión Nacional del Agua,0,EFRAIN AGUILAR HERNANDEZ
26237,Comisión Nacional Bancaria y de Valores,0,PALACIOS FERIA MARIA IVONNE
26239,Instituto Nacional de Bellas Artes y Literatura,0,JORGE ALBERTO CABALLERO VEGA
26245,Instituto Mexicano de la Radio,2245.16,MANUEL ISMAEL MONTES DE OCA VARGAS
26247,"Compañía Operadora del Centro Cultural y Turístico de Tijuana, S.A. de C.V.",43500,SOLUCIONES DE IMPRACTO S DE RL DE CV
26248,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,MARIA EUGENIA MONTANO BERMUDEZ
26249,Secretaría de Economía,0,FEDERICO LEOPOLDO VALDES BRAVO
26250,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,WALTER DANIEL VUJOSEVICH LOZADA
26251,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,ARTURO ESTRADA RUIZ
26252,Instituto Nacional de Medicina Genómica,11403.26,UNIPARTS S A DE C V
26253,Secretaría de Comunicaciones y Transportes,0,GUARD PRIVATE SECURITY ELITE DE MEXICO SEMEP SA DE CV
26254,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,JOSE LUIS MARTINEZ MATUS
26255,Hospital Regional de Alta Especialidad de Oaxaca,263962,CORPORACION MEDIGROUP S DE RL DE CV
26256,Instituto Nacional de Medicina Genómica,3456.8,SIGMA ALDRICH QUIMICA  S.A. DE C.V.
26257,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
26258,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,LUIS GONZALEZ RUIZ
26259,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,FILIBERTO SEVILLA FONSECA
26260,Comisión Federal para la Protección contra Riesgos Sanitarios,0,CONSTRUCTORES MCR SA DE CV
26261,Universidad Pedagógica Nacional,0,GIRO 2000 SA DE CV
26263,Secretaría de Cultura,0,FRANCISCO JAVIER BARREIRO PERERA
26264,Coordinación Nacional de PROSPERA Programa de Inclusión Social,0,EULOGIA CAMPUZANO ROMERO
26265,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALBERTO EDGAR VARGAS CABRERA
26267,Instituto Nacional de Rehabilitación Luis Guillermo Ibarra Ibarra,31759.52,MEDICAL RECOVERY SA DE CV
26271,Comisión Federal para la Protección contra Riesgos Sanitarios,0,EVENTOS PROMOCIONES Y CONVENCIONES SA DE CV
26272,Secretaría de Comunicaciones y Transportes,0,COMBUSTIBLES Y LUBRICANTES DEL MAYAB SA DE CV
26273,Comisión Nacional del Agua,0,"Bodega de Llantas la Viga, S.A. de C.V."
26277,Comisión Federal para la Protección contra Riesgos Sanitarios,0,DISTRIBUIDORA DE ENLACES ELECTRONICOS SA DE CV
26278,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,CRISTINA VILLAESCUSA TRILLAS
26282,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",0,PRINT LSC COMMUNICATIONS S DE RL DE CV
26283,"Secretaría de Agricultura, Ganadería, Desarrollo Rural, Pesca y Alimentación",0,IGNACIO QUIROZ BARTOLO
26289,XE-IPN Canal 11,0,MOISES CRUZ GUERRERO
26290,Instituto de Administración y Avalúos de Bienes Nacionales,0,ASESORES MEXICANOS EN VALUACION P.S SA DE CV
26291,Prevención y Readaptación Social,18495232.93,"ABASTECEDOR CORPORATIVO, S.A. DE C.V."
26293,Instituto de Administración y Avalúos de Bienes Nacionales,0,ALENCA SC
26294,"Servicio Nacional de Sanidad, Inocuidad y Calidad Agroalimentaria",470194.3,APARATOS ELECTROMECANICOS VON HAUCKE S A DE C V
26295,Instituto de Administración y Avalúos de Bienes Nacionales,0,APQ ARQUITECTOS
26297,Centro SCT Baja California Sur,9649322.44,URBANIZADORA Y PAVIMENTADORA MEGA S. DE R.L. DE C.V.
26300,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO VALENZUELA PORCHAS SA DE CV
26302,Dirección General de Intendencia,1433465.94,"MUEBLES DISPLAN, S.A. DE C.V."
26303,Secretaría de la Función Pública,0,FRANCISCO JOSE GONZALEZ COBO
26305,Instituto de Administración y Avalúos de Bienes Nacionales,0,PARAMETRIX SC
26306,"Secretaría de Desarrollo Agrario, Territorial y Urbano",0,KARINA RODRIGUEZ CHAVEZ
26308,Instituto Nacional de Antropología e Historia,0,LUIS ENRIQUE DELGADO CORTE
26309,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
26310,Comisión Nacional del Agua,0,DRAGADOS Y URBANIZACIONES SIGLO 21 SA DE CV 
26311,Instituto de Administración y Avalúos de Bienes Nacionales,0,GRUPO AVALUO SC
26312,Secretaría de Cultura,0,CLAUDIA CABRERA RODRIGUEZ
26319,Instituto de Administración y Avalúos de Bienes Nacionales,0,GOVYNDAYA DESARROLLO INMOBILIARIO SA DE CV
